MMSI,BaseDateTime,LAT,LON,Heading,VesselName,CallSign,VesselType,Length,Width
377901110,2022-01-29T00:00:11,26.76136,-80.00986,125.0,TROPIC GEM,J8QY2,70.0,92.0,22.0
377901110,2022-01-29T00:00:00,26.76187,-80.0107,125.0,TROPIC GEM,J8QY2,70.0,92.0,22.0
477390400,2022-01-29T00:00:26,49.01947,-123.15111,30.0,SEASPAN AMAZON,VRNF8,70.0,336.0,48.0
311039000,2022-01-29T00:00:03,38.88992,-124.39474,310.0,CRYSTAL RAY,C6RI2,70.0,199.0,32.0
367777470,2022-01-29T00:00:09,48.015,-122.5399,181.0,NUNANIQ,WDJ4412,70.0,42.0,14.0
209513000,2022-01-29T00:00:09,25.75287,-79.29172,511.0,OCEAN PEARL,C4BQ2,70.0,169.0,27.0
352978155,2022-01-29T00:00:10,29.7325,-116.7643,232.0,VAN DUFFY,3E2389,70.0,190.0,32.0
636014573,2022-01-29T00:00:00,31.88421,-80.14396,30.0,IKARIA,A8UY8,70.0,278.0,40.0
538009057,2022-01-29T00:00:08,29.77366,-90.02548,5.0,MERCURIUS,V7A4251,70.0,180.0,30.0
403526001,2022-01-29T00:00:03,33.40608,-77.59875,84.0,BAHRI TABUK,HZEX,70.0,220.0,32.0
373970000,2022-01-29T00:00:05,38.03742,-122.17007,328.0,KEN VOYAGER,3FXQ7,70.0,183.0,29.0
215657000,2022-01-29T00:00:09,32.52226,-79.54965,345.0,CMA CGM THALASSA,9HA5230,71.0,347.0,46.0
538003820,2022-01-29T00:00:00,29.84675,-89.98083,216.0,IMPERIAL EAGLE,V7TK5,70.0,189.0,32.0
311008600,2022-01-29T00:00:05,44.27994,-125.27561,176.0,VIOLET ACE,C6XG3,70.0,189.0,32.0
357046000,2022-01-29T00:00:11,30.72775,-81.29171,317.0,BERGE BEN NEVIS,3ESK7,70.0,,
209497000,2022-01-29T00:00:01,29.74062,-95.11433,44.0,NAVIOS TAURUS,5BMN5,79.0,225.0,32.0
338121000,2022-01-29T00:00:01,33.62097,-118.40617,119.0,LURLINE,KLUX,70.0,265.0,35.0
538003181,2022-01-29T00:00:06,36.52462,-123.72488,58.0,CAPE FELTON,V7OX5,79.0,170.0,25.0
636018276,2022-01-29T00:00:01,34.23545,-119.97402,283.0,MSC GAYANE,D5OZ5,74.0,314.0,48.0
353863000,2022-01-29T00:00:11,24.63309,-79.82016,61.0,YUAN SHUN HAI,3FZO2,70.0,190.0,32.0
636018518,2022-01-29T00:00:12,37.19586,-76.12363,119.0,MEDI GINEVRA,D5QB3,70.0,229.0,36.0
369209000,2022-01-29T00:00:05,43.96779,-125.97143,181.0,KAIMANA HILA,WDJ3199,70.0,260.0,35.0
636016423,2022-01-29T00:00:04,28.48253,-119.12155,260.0,MSC BHAVYA,D5GC9,70.0,294.0,32.0
636090862,2022-01-29T00:00:02,37.79795,-122.32259,286.0,JPO LIBRA,A8GU7,70.0,264.0,32.0
538009523,2022-01-29T00:00:18,37.70938,-122.33586,263.0,GABRIELA  A,V7A4845,79.0,216.0,30.0
356623000,2022-01-29T00:00:06,48.83412,-126.33991,96.0,NEW FACE,HONR,70.0,,
256937000,2022-01-29T00:00:05,32.68473,-78.89058,48.0,COSCO BEIJING,9HA4041,70.0,350.0,42.0
210558000,2022-01-29T00:00:13,30.03641,-90.60832,45.0,KIBALI,5BHX3,70.0,190.0,32.0
351954000,2022-01-29T00:00:03,45.98996,-124.66733,1.0,OCEAN SEAGULL,3FSU4,70.0,119.0,21.0
477627300,2022-01-29T00:00:00,33.714,-118.27449,304.0,MOL EMISSARY,VRFX6,70.0,294.0,32.0
255806032,2022-01-29T00:00:01,29.52502,-116.89278,255.0,MSC YASHI B,CQIP7,71.0,330.0,48.0
215352000,2022-01-29T00:00:09,32.20172,-79.68355,4.0,CMA CGM BRAZIL,9HA5075,70.0,366.0,51.0
538007668,2022-01-29T00:00:00,33.71265,-118.15686,37.0,NOMADIC MILDE,V7ZW7,70.0,138.0,21.0
538007668,2022-01-29T00:00:01,33.71358,-118.15802,79.0,NOMADIC MILDE,V7ZW7,70.0,138.0,21.0
636017505,2022-01-29T00:00:00,30.7811,-118.0903,48.0,TINTIN,D5LH5,70.0,238.0,32.0
477627300,2022-01-29T00:00:00,33.71397,-118.27449,304.0,MOL EMISSARY,VRFX6,70.0,294.0,32.0
215853000,2022-01-29T00:00:00,29.94299,-121.15105,128.0,ALAMEDA,9HDG8,70.0,288.0,45.0
563048400,2022-01-29T00:00:06,30.58602,-118.18548,359.0,ONE OLYMPUS,9VPQ7,70.0,335.0,44.0
636017505,2022-01-29T00:00:00,30.76261,-117.95982,44.0,TINTIN,D5LH5,70.0,238.0,32.0
215869000,2022-01-29T00:00:08,37.55653,-123.8752,348.0,SEASTAR VALIANT,9HA5342,79.0,180.0,30.0
538007668,2022-01-29T00:00:01,33.71312,-118.15463,305.0,NOMADIC MILDE,V7ZW7,70.0,138.0,21.0
563907000,2022-01-29T00:00:07,39.25726,-76.56516,358.0,SAVITREE NAREE,9V3873,70.0,199.0,32.0
371799000,2022-01-29T00:00:12,31.96667,-80.40097,8.0,GEORGE WASHINGTON BR,3EES2,70.0,284.0,40.0
366102000,2022-01-29T00:01:09,28.84765,-95.16511,357.0,LIBERTY PROMISE,WWMZ,70.0,199.0,32.0
